"","logFC","logCPM","LR","PValue","FDR"
"PITA_22854",-3.18553680666871,2.45601250231492,27.5002736683456,1.57072278230876e-07,3.26823430760548e-05
"PITA_30250",-3.57100721280585,4.6407913024712,25.2875103386204,4.93896507085553e-07,8.98020638401343e-05
"PITA_17377",-2.66857422999586,2.8112993418549,25.2746787122729,4.97193171324516e-07,8.98020638401343e-05
"PITA_42005",-4.29226633876416,1.19630709662947,22.8256788010152,1.7737980002439e-06,0.000274611382073473
"PITA_31225",-1.67136543408207,5.85784127798484,22.5979775402139,1.9969471179625e-06,0.000300223107462929
"PITA_18469",-2.85692726920519,2.28113093163819,22.5068213584458,2.09398686203162e-06,0.000309446047128298
"PITA_09977",-3.44488617208202,3.13569992648779,22.4085377954026,2.2039211604991e-06,0.000323851895273565
"PITA_03793",-3.49225966135185,4.3760863383884,22.1107139565917,2.57369306552764e-06,0.000365787884925183
"PITA_16460",-2.58101517096986,2.56475909532907,22.060763299177,2.64154316390574e-06,0.000373390739945785
"PITA_42919",-4.67338820909428,2.69095276725719,21.9439100721067,2.8073633643519e-06,0.000393933234311232
"PITA_20015",-1.89149948128394,3.89911726001135,20.6658845861027,5.46816445930537e-06,0.000693763363034504
"PITA_18634",-2.5683667141599,4.59379167757332,20.1883953017347,7.01773762985726e-06,0.000853342662895309
"PITA_30618",-1.87091485546446,4.35946756013014,20.1785240542762,7.05404561968901e-06,0.000853342662895309
"PITA_43294",-2.71824553611989,2.56151086959022,20.0153998469143,7.68209917845822e-06,0.000908198716056909
"PITA_35860",-4.07659636420023,1.12331971345506,18.7432212106668,1.49554030061388e-05,0.00166228665293446
"PITA_39780",-1.46178018669102,4.69018275519973,18.3260619725883,1.8614317763775e-05,0.00198417947015583
"PITA_34546",-2.4897955691018,4.08108861132987,17.8971118603357,2.33174696873047e-05,0.00241619151034704
"PITA_15007",-1.84276795179252,5.02494423019416,17.0868999795039,3.5707760291328e-05,0.00343971532376722
"PITA_46721",-3.59747199766366,4.68755370021072,17.008328094194,3.72162229980197e-05,0.00354562909873807
"PITA_41416",-1.82690190925793,4.91127834048362,16.892628983713,3.95548867820072e-05,0.00375468266537674
"PITA_45005",-2.37967115766755,2.77384577669679,16.585550335925,4.65039883353726e-05,0.00429645404870293
"PITA_44539",-1.72442142570831,4.20882780506638,16.5822952041063,4.6583876417172e-05,0.00429645404870293
"PITA_11028",-3.3399330786204,2.30486510010401,16.3445339050506,5.28082525098711e-05,0.00476906194280985
"PITA_10183",-2.16075697517941,5.614007404627,16.3287261538643,5.3250582173004e-05,0.00478321620008483
"PITA_40902",-2.03917571502788,4.96338484291106,16.3258025853833,5.33327962637779e-05,0.00478321620008483
"PITA_09818",-2.80371862553723,1.84526436962266,16.2099915652225,5.66943038815831e-05,0.00501551751583706
"PITA_28273",-3.26072979138951,0.669110686024326,15.9666735286199,6.44674354437488e-05,0.00549748697854578
"PITA_08560",-3.19729321370606,0.746517842044997,15.9303680304129,6.57158296911824e-05,0.00556743652911389
"PITA_28306",-3.17506152142302,1.67026043102709,15.7999736654101,7.04034881814073e-05,0.00587100746617697
"PITA_15295",-2.38657167783614,4.62944142865229,15.732963521165,7.29418959296444e-05,0.00606116859819208
"PITA_05153",-3.22573968536777,0.67601386790379,15.4599531058276,8.4271974365096e-05,0.00680692478652727
"PITA_23781",-2.54342038681161,2.31480720267676,15.4226539934075,8.59516959710637e-05,0.00692110730808482
"PITA_02678",-1.33366270191856,5.94591860392265,15.3352492189848,9.0021040305591e-05,0.0072041761147942
"PITA_02431",-3.77518183842406,3.16643541090176,15.3112504962147,9.11719050946834e-05,0.00727389594971663
"PITA_24359",-2.26609843983588,2.6011083559507,15.2793243045823,9.27259164061034e-05,0.00737525492295518
"PITA_51133",-1.33569953330817,5.99777341561244,15.2235778576056,9.55035645834837e-05,0.00755000672113018
"PITA_31682",-2.12832170115217,2.60083304509656,15.1080028264734,0.000101531952837047,0.00795404988355046
"PITA_06351",-2.47506932264779,2.21574766293329,15.0306466142702,0.000105779391355819,0.00820725671353919
"PITA_09974",-2.93187290983262,2.06866775647987,15.0302822877178,0.000105799813004681,0.00820725671353919
"PITA_48808",-1.58792607283787,6.84301781499339,14.9234407244143,0.000111963136523352,0.00850283172221654
"PITA_26684",-1.69268281776005,3.32606582567265,14.9002412908177,0.000113348486422427,0.00853142005742144
"PITA_01744",-2.70190850531269,1.33740491627825,14.7900829005548,0.000120165783547363,0.00887895415989592
"PITA_15927",-2.74938670342556,2.58862676031457,14.475878304754,0.00014196589138698,0.0101718756724076
"PITA_42387",-3.67497260108828,0.611826538405973,14.4432534533348,0.000144446348345229,0.0102928906140029
"PITA_07279",-1.66038538260635,6.87239672447941,14.4217332488743,0.000146106363604975,0.0103827333633929
"PITA_12586",-1.90223998635255,3.4691301772932,14.2860628795247,0.000157023201524386,0.011008130588808
"PITA_43713",-1.31016799368925,9.42034858305501,14.2335333518571,0.00016146742074843,0.0112308351300443
"PITA_40008",-1.59629374177603,5.4144210341135,14.2281828259281,0.000161927147286194,0.0112308351300443
"PITA_41676",-1.31047148506425,6.0249342559917,14.2150479649095,0.000163061315416746,0.0112794195549844
"PITA_25765",-4.37063223118633,3.85779676839949,14.0056041930087,0.000182266573982924,0.0123579282930985
"PITA_13681",-2.23612702449751,2.32482500168927,14.0031536886646,0.000182504269723241,0.0123579282930985
"PITA_40300",-1.51114125151258,3.98197959476537,13.8406121005961,0.000198988385234212,0.0133388889473109
"PITA_37303",-1.21463263006904,5.48463521112927,13.8213930701952,0.000201034135405167,0.013372626157936
"PITA_38496",-1.68904076398624,5.20717200438222,13.7920937342917,0.000204193723630539,0.0135481493824151
"PITA_20669",-1.57943983561197,6.43985231285347,13.6579732030892,0.000219308091998309,0.0142090170000083
"PITA_25644",-1.46490859378034,4.75916045916018,13.6441320035887,0.000220930698914744,0.0142090170000083
"PITA_14158",-2.8335007704724,1.33886511057323,13.6413679467866,0.000221256176131468,0.0142090170000083
"PITA_50012",-1.25880447764143,4.93146884532192,13.6067578214728,0.00022537277503521,0.0144377352361842
"PITA_09085",-2.50347943367367,3.50340596456937,13.4865702756993,0.000240276975793935,0.0151683588918069
"PITA_43642",-1.63342024009768,8.4706202629521,13.3950131928344,0.000252294166132924,0.0158118529324126
"PITA_07465",-3.33252940805996,0.265333857640346,13.3872236363582,0.000253344120137019,0.0158394885111628
"PITA_37074",-2.06243767910578,2.71010835993997,13.1620058958532,0.000285682900938466,0.017524355119124
"PITA_50170",-2.95398544255145,0.133922574296657,13.0442100514091,0.000304223449537245,0.0184441671305693
"PITA_49449",-1.58146365977013,3.93127699624527,12.993527580844,0.000312569545711133,0.018906096080002
"PITA_38033",-1.40930169076072,4.17984947037587,12.8949366922662,0.000329472240871592,0.019746186233394
"PITA_42555",-1.76149257315291,2.90686872995093,12.8209057125977,0.000342767756003314,0.0202614694679323
"PITA_39951",-1.92722457792766,3.15925559512743,12.7714399150064,0.000351951809705689,0.0207571760059756
"PITA_49619",-3.47945215986346,1.86662845358735,12.6818539212095,0.000369221303343686,0.021483393464577
"PITA_50767",-1.70481673137069,4.23762456628943,12.5664255570293,0.000392739041643038,0.022400766960732
"PITA_18544",-1.2009298360719,6.89204791942334,12.3459961487479,0.000441933267816646,0.0245079794512647
"PITA_23009",-1.73861568355356,3.88488810320031,12.3298782531231,0.000445765479529192,0.0246679028873931
"PITA_06138",-1.18790290750373,5.81848510727288,12.2946607355961,0.00045425593583965,0.0249783142394365
"PITA_18124",-1.39117778670505,5.667104126552,12.1696401130895,0.000485736773949519,0.0265410246925484
"PITA_11259",-2.88020227315264,1.97654600168784,12.1446651395093,0.000492284799440379,0.0268424221145594
"PITA_11051",-1.62132457316893,3.60552761529197,12.0938168620405,0.000505893063265552,0.027469254034392
"PITA_07719",-1.57369780906085,4.84448733933909,11.9383609446629,0.000549898363996172,0.0296114007229326
"PITA_33194",-2.11827448473401,4.07309898542804,11.9336856043509,0.000551280080868894,0.0296244702961138
"PITA_19462",-2.4479951340307,3.39225709172355,11.9268343163748,0.000553311196052921,0.0296723111301864
"PITA_27964",-1.56674087527169,2.96969741003293,11.8763239332712,0.000568520421237122,0.0303005074507302
"PITA_18140",-2.23573235436724,1.5909490731225,11.7464949660026,0.000609579257229751,0.0319648123009851
"PITA_18117",-1.29615092741796,5.94911992702416,11.7219269189302,0.000617679638864722,0.0322834391461715
"PITA_09179",-1.70538972736044,3.6652623110387,11.5838551424204,0.0006652687885825,0.0343313014330203
"PITA_22468",-2.28457177380743,0.861871515907399,11.5410765237168,0.000680752103043033,0.0350607553426658
"PITA_21213",-1.87750999463496,3.09670887418015,11.4463563979679,0.00071634323868905,0.0365321005785559
"PITA_47340",-2.49139375897347,2.4222831793664,11.3865058609934,0.000739795559800454,0.0372894238659884
"PITA_43063",-2.67552828159875,3.49653554059036,11.3094755902918,0.000771125482729925,0.0381296628903472
"PITA_43448",-2.33106367598987,2.2023161889884,11.3033023175871,0.000773693586733187,0.0381840540746555
"PITA_10873",-1.26425378548702,5.4742075869687,11.2995253395293,0.000775269083021675,0.0381893439021037
"PITA_40015",-2.33644800470682,3.44366725608037,11.2096585275812,0.000813726917894033,0.0398184549188545
"PITA_07225",-0.948579689811434,7.32403684901748,11.1935014299958,0.000820843033669162,0.0399052457246752
"PITA_05353",-1.49699952314433,3.36515252416787,11.1406736949734,0.000844552131688548,0.040904946728282
"PITA_38791",-1.27321858117225,4.65446743298187,11.1121287669956,0.000857649944153128,0.0411261344188312
"PITA_46810",-2.24756469742329,1.27649428493689,11.1100618316779,0.000858606289723762,0.0411261344188312
"PITA_10478",-1.25456731570039,4.43619395029867,11.0976968560129,0.000864349967060289,0.0413251439214541
"PITA_38207",-2.75996795647713,0.646507232643087,11.0481946335965,0.000887736019460082,0.0421334418433162
"PITA_25199",-1.33926818962435,5.08462275351211,11.0372820125646,0.000892976863537448,0.0423049822290446
"PITA_45104",-2.42521700359908,1.85351225789942,11.002563616262,0.00090985953574683,0.042895764928879
"PITA_31051",-2.2082689642881,1.19485799692288,10.9816603388389,0.000920179530478489,0.0432002696899188
"PITA_00012",-1.87641123611318,2.33555663178563,10.9137058979443,0.000954553749980855,0.0445726902751384
"PITA_43227",-1.20851154661468,4.95983895649942,10.8577601129567,0.000983826183618629,0.0454113339941071
"PITA_31306",-1.570689242177,3.14713359793631,10.7758100357147,0.00102835201892482,0.0469235222109045
"PITA_30667",-2.00991758350425,2.985192397385,10.7452853030443,0.00104545322015664,0.0473830435710455
"PITA_05631",-1.17845152572166,5.02199613478288,10.7379937049196,0.00104958065678388,0.0474757274822466
"PITA_33787",-1.70613465366306,3.19447833383441,10.7303909135939,0.00105390179864025,0.0475884234042264
"PITA_37198",-0.925537970258365,7.77186694117392,10.652185879335,0.00109940893908966,0.0489632313301078
