"","Ha1","Ha2","Ha3","Ctr1","Ctr2","Ctr3"
"PITA_08347",38.645604673358,41.1310113860006,43.1989810072068,37.6547047641011,44.2425712244013,41.1059089813633
"PITA_22597",2.45628843262869,1.71379214108336,2.16486920765045,3.16806410274889,1.76970284897605,1.40887188040963
"PITA_28597",21.2878330827819,21.0551605904527,18.5981945566334,22.1764487192422,21.7280183124282,17.569461096873
"PITA_46141",0.491257686525737,7.71206463487511,0.59041887481376,3.89219304052007,10.1266329691408,13.2599706391494
"PITA_45348",54.1202217989187,50.0672132645066,39.7548709041265,30.5944476208322,38.6385122026438,22.8734493525328
"PITA_38123",2.62004099480393,3.30517055780362,2.26327235345275,2.35341904775632,2.35960379863474,1.40887188040963
"PITA_18524",107.667309630224,93.6464991377691,91.0229098671213,134.14488572211,157.110286259096,121.162981715228
"PITA_06673",48.2251295606099,50.0672132645066,50.0872012133673,48.7881871823329,48.273561047069,50.6365128782519
"PITA_43330",26.7735439156527,22.5241252828098,21.7470952223068,30.9565120897178,23.9893052861198,15.9119647669793
"PITA_13970",3.02942240024205,2.08103331417265,1.4760471870344,1.81032234442794,3.04782157323654,1.24312224742026
"PITA_43791",25.7091522615136,23.2586076289884,18.106178827622,24.9824483531056,34.9024728548055,6.71286013606941
"PITA_08318",67.8754370216393,62.7982405982687,96.3366797404452,48.6071549478902,61.0547482896739,38.288165220544
"PITA_06813",1.0643916541391,2.32586076289884,2.9520943740688,1.35774175832095,1.76970284897605,1.32599706391494
"PITA_10583",6.14072108157171,3.794825455256,4.52654470690549,6.78870879160477,7.07881139590422,5.46973788864915
"PITA_31758",277.642469168129,212.020570596884,304.951348841307,204.204360451471,268.109981619872,144.36793033374
"PITA_22677",10.643916541391,11.1396489170418,11.0211523298569,10.5903857149034,7.57039552061979,8.70185573194182
"PITA_16465",6.30447364374696,4.77413525016078,7.08502649776512,6.33612820549779,5.40742537187128,6.87860976905877
"PITA_31069",31.8498733430853,28.2775703278754,26.7656556582238,29.0556736280684,38.1469280779283,39.9456615504377
"PITA_51300",97.4327744942712,84.7102972592631,81.9698204533103,99.205664474651,82.0945488275003,126.301220337898
"PITA_26113",1.22814421631434,2.69310193598813,1.96806291604587,1.44825787554235,3.04782157323654,1.16024743092558
"PITA_16266",8.51513323311278,5.63103132070246,0,3.25858021997029,4.03098982266768,5.96698678761725
"PITA_20218",105.620402603033,108.70338723443,101.748852759571,127.989789751055,109.623259811572,172.462493125437
"PITA_09713",73.3611478545101,78.8344384898344,87.4803966182388,84.7230857192275,54.270887368599,87.4329314018916
"PITA_33410",6.7957313302727,11.6293038144942,20.5662574726793,27.4263835180833,19.859998638509,11.6853491257504
"PITA_29255",8.92451463855089,6.24309994251794,5.80578560233531,8.9610956049183,5.89900949658685,3.81224155875546
"PITA_48705",3.27505124350491,4.89654897452388,3.73931954048715,3.89219304052007,3.34277204806588,1.90612077937773
"PITA_25873",4.91257686525737,3.42758428216671,5.21536672752155,3.43961245441308,5.99732632152996,5.55261270514383
"PITA_37276",8.43325695202515,7.58965091051201,11.3163617672637,6.33612820549779,11.6013853432875,13.3428454556441
"PITA_44769",10.8895453846538,13.0982685068514,10.4307334550431,12.31019194211,14.3542564416947,8.45323128245777
"PITA_03883",78.7649824062932,64.389619014989,77.0496631631957,72.050829308232,56.7288079921768,108.317385158552
"PITA_26592",235.148679283653,215.448154879051,199.758385978655,236.51861429951,199.189887334749,294.95147190458
"PITA_23657",1.55564934066483,1.22413724363097,1.96806291604587,1.17670952387816,0.393267299772456,1.49174669690431
"PITA_38026",4.25756661655639,6.73275483997033,6.39620447714907,6.15509597105499,6.78386092107487,5.7183623381332
"PITA_47536",3.19317496241729,4.28448035270839,9.34829885121787,1.08619340665676,1.76970284897605,2.73486894432457
"PITA_31377",1.63752562175246,1.46896469235716,0.787225166418347,0.905161172213969,1.86801967391917,1.24312224742026
