"","Ha1","Ha2","Ha3","Ctr1","Ctr2","Ctr3"
"PITA_21793",0,0,0,0,0,0
"PITA_36304",0,0,0,0,0,0
"PITA_22807",0,0,0,0,0,0
"PITA_41765",0,0,0,0,0,0
"PITA_19915",0,0,0,0,0,0
"PITA_16721",19,19,17,14,11,14
"PITA_50743",18,9,25,21,42,53
"PITA_03228",293,202,282,298,207,254
"PITA_41491",0,0,0,0,0,0
"PITA_48238",212,230,245,274,194,546
"PITA_06934",9,0,0,8,0,2
"PITA_34073",55,74,57,66,56,85
"PITA_35396",0,0,0,0,0,0
"PITA_05873",87,69,67,52,77,47
"PITA_48720",6,1,1,0,8,0
"PITA_38353",3,3,2,1,1,3
"PITA_48218",10,18,16,18,16,19
"PITA_08158",47,60,36,63,38,66
"PITA_26243",0,0,0,0,0,0
"PITA_19346",53,46,85,56,24,126
"PITA_14203",4,3,8,2,2,3
"PITA_14858",0,0,0,0,0,0
"PITA_01860",149,95,101,113,116,149
"PITA_22971",0,0,0,0,0,1
"PITA_22564",64,38,9,111,33,39
"PITA_32261",260,207,141,94,173,136
"PITA_11943",0,0,0,0,0,0
"PITA_22168",525,346,265,147,208,144
"PITA_36958",0,0,0,0,0,0
"PITA_18053",0,0,0,0,0,0
"PITA_50786",0,0,3,0,1,0
"PITA_49185",0,0,0,0,0,0
"PITA_30766",866,541,703,675,589,785
"PITA_38959",5,6,5,2,2,2
"PITA_38321",18,23,34,34,31,29
"PITA_12886",1,1,1,0,0,0
"PITA_10355",91,48,73,69,69,77
"PITA_33267",0,0,0,0,0,0
"PITA_10747",1,0,6,5,3,4
"PITA_41463",0,0,1,0,0,0
"PITA_26211",179,64,89,89,241,78
"PITA_12947",0,0,0,0,0,0
"PITA_48713",187,109,188,203,218,13
"PITA_47907",0,0,0,0,0,0
"PITA_09395",279,126,153,310,231,180
"PITA_44655",202,108,153,149,225,200
"PITA_51251",237,103,153,189,196,192
"PITA_46210",1183,935,910,788,978,871
"PITA_42659",22,23,34,28,17,38
"PITA_02326",21,42,48,17,26,6
"PITA_43827",77,30,62,47,60,108
"PITA_02391",537,303,412,461,418,292
"PITA_13448",149,68,90,113,119,118
"PITA_44862",5101,2619,4013,1022,1099,3856
"PITA_04227",0,2,0,0,1,0
"PITA_39206",0,0,0,0,0,0
"PITA_35906",618,447,458,540,427,714
"PITA_15460",1,0,0,0,0,0
"PITA_13044",8,3,3,20,14,4
"PITA_43485",75,90,71,47,61,38
"PITA_34676",0,0,0,0,0,0
"PITA_33610",0,0,0,0,0,0
"PITA_40823",729,562,721,981,959,1234
"PITA_49863",0,0,0,0,0,0
"PITA_50142",0,1,1,0,0,1
"PITA_37267",433,159,388,275,275,662
"PITA_39080",370,264,307,258,163,399
"PITA_31599",75,63,92,74,80,64
"PITA_13810",0,0,0,0,0,0
"PITA_05624",0,1,2,6,3,5
"PITA_21003",2,1,6,6,0,0
"PITA_28792",98,44,128,87,86,123
"PITA_09408",194,136,156,0,0,139
"PITA_29922",29,20,30,9,31,27
"PITA_19673",101,67,122,145,81,151
"PITA_34382",185,140,161,145,228,158
"PITA_22565",13,10,12,12,10,18
"PITA_18254",24,0,7,0,0,0
"PITA_30428",196,69,269,28,97,0
"PITA_47217",600,354,453,448,521,490
"PITA_38471",0,0,0,0,1,0
"PITA_41407",996,226,856,14,1,0
"PITA_05446",33,15,9,24,19,23
"PITA_27874",0,0,0,0,0,0
"PITA_32599",41,48,46,51,30,32
"PITA_06895",20,2,14,14,19,14
"PITA_07937",0,0,0,0,1,0
"PITA_34693",1,0,0,1,0,0
"PITA_48390",0,0,0,0,1,0
"PITA_48933",0,0,0,0,0,0
"PITA_11175",0,0,0,0,0,0
"PITA_07042",81,52,66,54,66,92
"PITA_23280",0,0,0,0,0,0
"PITA_23204",145,65,78,101,180,155
"PITA_07688",0,0,0,2,1,0
"PITA_38116",0,0,0,0,0,0
"PITA_18467",0,0,0,1,0,0
"PITA_37043",2,0,1,0,5,0
"PITA_01125",0,0,0,0,0,0
"PITA_51614",0,0,0,2,0,0
"PITA_20771",8,6,3,3,1,9
"PITA_29838",65,34,51,91,71,74
"PITA_13185",0,0,0,0,0,0
"PITA_18050",871,473,675,763,620,852
"PITA_22122",547,411,634,647,435,729
"PITA_21755",5210,3123,4314,4393,4299,5056
"PITA_49117",9,0,13,6,7,14
"PITA_47278",239,148,161,299,355,159
"PITA_21031",0,0,1,0,0,0
"PITA_35645",1709,1058,1258,1443,1515,1669
"PITA_07330",0,0,2,2,3,7
"PITA_41743",0,2,1,5,3,1
"PITA_12677",0,0,0,0,0,0
"PITA_22695",2,1,4,1,1,6
"PITA_37364",82,39,81,93,107,157
"PITA_02457",245,255,308,80,135,47
"PITA_13784",14,2,5,2,2,6
"PITA_35198",4,1,4,1,2,1
"PITA_31530",2,0,0,2,0,1
"PITA_26740",82,82,118,154,31,136
"PITA_39318",258,282,207,247,343,210
"PITA_05829",0,0,0,0,6,0
"PITA_02316",46,31,36,35,45,55
"PITA_28312",0,0,0,0,0,4
"PITA_07150",503,453,344,425,677,887
"PITA_36571",0,1,0,0,0,1
"PITA_36141",1009,645,841,834,1067,1090
"PITA_13732",0,0,0,0,0,0
"PITA_48211",0,0,0,0,0,0
"PITA_17428",58,39,32,25,8,13
"PITA_03638",78,76,107,116,56,82
"PITA_11901",168,150,137,175,115,194
"PITA_23845",45,42,59,53,44,88
"PITA_36383",0,0,0,0,0,0
"PITA_48991",0,0,0,0,0,0
"PITA_24992",0,0,0,0,0,0
"PITA_43404",0,0,0,0,0,9
"PITA_21434",132,47,77,75,87,9
"PITA_18189",28,8,8,9,15,35
"PITA_09884",0,0,0,0,0,0
"PITA_43036",2226,1160,1434,1359,1739,1097
"PITA_25824",63,75,41,53,63,125
"PITA_14043",0,0,0,0,0,0
"PITA_14787",0,0,0,0,0,0
"PITA_28293",0,0,0,0,0,0
"PITA_47538",0,0,1,0,0,1
"PITA_32843",11,12,16,10,11,1
"PITA_17222",154,172,212,149,166,218
"PITA_29605",1,3,12,11,7,21
"PITA_47646",59,49,9,18,58,6
"PITA_30423",0,0,0,0,0,0
"PITA_26431",78,60,63,114,110,80
"PITA_38547",0,2,2,0,0,4
"PITA_23948",0,0,0,0,0,0
"PITA_15813",76,47,70,89,78,115
"PITA_22840",0,0,0,0,0,0
"PITA_37161",17,7,10,9,3,2
"PITA_41259",269,191,224,256,236,325
"PITA_02340",197,60,110,54,82,149
"PITA_47420",3,0,0,0,0,0
"PITA_24366",4,2,1,1,2,2
"PITA_37122",307,164,97,236,391,186
"PITA_00474",113,127,125,131,98,157
"PITA_14933",3,0,2,0,0,9
"PITA_48085",56,33,0,45,9,39
"PITA_16987",1052,730,893,999,918,1121
"PITA_03280",72,48,27,58,38,53
"PITA_13168",40,55,54,32,30,41
"PITA_32886",10,18,11,23,12,23
"PITA_49234",0,0,0,0,0,0
"PITA_35834",34,17,23,24,13,43
"PITA_28936",358,247,302,290,237,320
"PITA_12465",0,0,0,0,0,0
"PITA_13783",7,4,3,3,4,8
"PITA_40935",0,0,1,0,1,0
"PITA_48461",47,51,31,91,60,108
"PITA_00569",0,1,2,5,0,5
"PITA_14565",0,0,0,0,0,0
"PITA_30645",567,355,412,465,391,206
"PITA_45595",0,0,0,0,0,0
"PITA_36640",1465,948,1140,1065,1283,922
"PITA_03929",4,1,5,0,1,0
"PITA_00078",2,0,0,3,0,0
"PITA_39572",98,58,83,68,95,122
"PITA_23316",0,0,0,0,0,0
"PITA_45118",292,176,188,378,226,293
"PITA_32273",0,0,0,0,0,0
"PITA_10945",1,1,3,3,0,1
"PITA_08371",33,26,29,52,48,73
"PITA_46033",16,11,9,17,13,6
"PITA_44835",29,15,20,44,10,9
"PITA_05705",228,153,177,129,186,282
"PITA_33608",23,11,12,24,26,25
"PITA_32983",1,0,0,0,0,0
"PITA_01170",1,2,0,0,1,0
"PITA_22217",52,62,102,118,27,149
"PITA_09300",6540,3831,4728,4929,5638,5277
"PITA_27202",107,61,249,5,1138,27
"PITA_49438",0,0,0,0,0,0
"PITA_10350",338,218,250,105,51,270
"PITA_10585",0,0,0,2,0,0
"PITA_33480",50,28,49,97,85,53
"PITA_11872",2,5,2,0,0,3
"PITA_25727",88,62,106,98,118,63
"PITA_05773",29,13,18,22,18,39
"PITA_32725",67,12,24,50,47,8
"PITA_35323",0,0,0,0,0,0
"PITA_50544",419,225,402,177,220,219
"PITA_24091",0,0,0,0,0,0
"PITA_37500",0,0,4,0,0,0
"PITA_01568",1,0,0,0,0,0
"PITA_14537",4,0,3,7,5,1
"PITA_30416",0,0,0,0,0,0
"PITA_00686",41,20,10,36,39,12
"PITA_08860",633,329,443,474,489,303
"PITA_15988",3,63,75,107,77,4
"PITA_42894",1692,1171,1437,1932,1364,2097
"PITA_40381",233,169,231,216,211,256
"PITA_48175",15,0,2,0,0,22
"PITA_47795",344,298,308,369,282,452
"PITA_32219",7,11,8,15,2,10
"PITA_44416",0,0,0,0,0,1
"PITA_12668",0,0,0,0,0,0
"PITA_43721",9,8,14,17,22,9
"PITA_05501",0,0,0,0,1,0
"PITA_46954",0,0,0,0,0,0
"PITA_41578",0,0,0,0,0,0
"PITA_32815",9,12,14,25,18,147
"PITA_02103",0,0,0,0,0,0
"PITA_14424",2,0,0,0,0,0
"PITA_41380",163,120,151,148,108,148
"PITA_05348",105,108,103,118,184,131
"PITA_39530",757,512,555,666,703,667
"PITA_14834",0,0,0,0,0,0
"PITA_13143",0,0,0,2,0,0
"PITA_30627",64,58,53,62,36,57
"PITA_15422",45,140,82,18,89,44
"PITA_45417",0,0,0,0,0,0
"PITA_41355",27,15,36,19,27,37
"PITA_47586",287,132,204,183,247,265
"PITA_32268",0,0,0,0,0,0
"PITA_26375",0,2,1,0,0,0
"PITA_26114",0,0,0,0,0,0
"PITA_01295",0,0,0,0,0,0
"PITA_39827",1583,856,1184,65,61,1444
"PITA_05322",121,66,77,79,65,110
"PITA_50904",0,0,1,1,0,0
"PITA_13041",107,31,56,51,99,122
"PITA_09357",0,0,0,0,0,0
"PITA_40395",121,73,112,91,141,153
"PITA_30403",3,1,0,2,0,4
"PITA_26447",18,16,25,35,19,12
"PITA_09104",40,22,31,28,34,64
"PITA_18527",60,35,34,69,80,69
"PITA_05055",0,0,0,0,0,0
"PITA_32330",0,0,0,0,0,0
"PITA_13662",678,492,703,877,600,515
"PITA_14066",0,0,0,0,0,0
"PITA_50318",14,14,33,21,21,45
"PITA_03960",43,35,53,93,57,62
"PITA_08443",0,0,0,0,0,0
"PITA_07250",258,192,192,236,189,210
"PITA_00481",17,8,13,0,0,9
"PITA_21502",67,32,55,38,28,48
"PITA_32524",677,311,387,446,515,676
"PITA_28377",0,0,0,0,0,0
"PITA_41419",165,117,161,110,141,224
"PITA_48952",5,5,7,2,3,0
"PITA_00854",0,0,0,0,0,0
"PITA_48517",0,1,4,1,3,3
"PITA_23245",173,177,183,211,184,164
"PITA_14697",0,0,4,10,0,4
"PITA_30204",0,2,0,2,0,0
"PITA_49802",7,12,5,8,3,2
"PITA_22248",0,0,0,0,0,0
"PITA_01598",0,0,0,0,0,0
"PITA_29489",62,38,38,58,30,61
"PITA_20620",122,53,100,96,99,117
"PITA_50866",51,36,25,8,7,8
"PITA_33182",0,1,1,0,0,1
"PITA_40133",0,0,0,0,0,0
"PITA_05424",0,0,0,0,0,0
"PITA_27348",0,0,0,0,0,1
"PITA_50893",3,8,2,0,1,1
"PITA_25918",742,367,442,613,792,579
"PITA_40113",11,2,6,10,11,5
"PITA_20522",143,122,124,114,108,168
"PITA_04639",1659,1043,1124,1214,1715,1057
"PITA_14830",81,52,25,15,0,26
"PITA_00646",0,0,0,0,0,0
"PITA_44112",821,547,723,824,590,781
"PITA_46220",51,65,74,66,44,82
"PITA_33997",1791,1574,1775,1928,2553,2598
"PITA_17083",6,4,6,4,7,7
"PITA_15902",115,73,88,76,69,76
"PITA_37761",0,0,0,0,0,0
"PITA_43576",5,4,4,0,0,1
"PITA_33130",153,87,156,118,110,113
"PITA_09463",257,219,225,41,474,275
"PITA_22794",3,0,2,3,3,0
"PITA_06039",74,45,66,83,76,115
"PITA_24267",18,3,7,0,15,25
